,arch,hyperparams,total params,train loss,valid loss,mae_valid,time,otimizador
0,PatchTST,{},6318090,3.6433534622192383,3.594416856765747,3.686800956726074,731,PID
1,RNNPlus,{},10401,1.0737253427505493,1.300965666770935,1.726877212524414,82,PID
2,TransformerLSTMPlus,{},858753,1.2832844257354736,1.260189175605774,1.6875134706497192,580,PID
3,TransformerGRUPlus,{},792705,1.291105031967163,1.2590768337249756,1.6863700151443481,1070,PID
4,InceptionTimePlus,{},454977,0.09714379161596298,1.085559606552124,1.4911484718322754,634,PID
5,TSSequencerPlus,{},210481,0.3847236633300781,1.0887030363082886,1.490171194076538,1004,PID
6,ResNetPlus,{},478337,0.03547903895378113,1.0607718229293823,1.4681819677352905,364,PID
7,TSTPlus,{},398849,0.9048534631729126,0.8932523727416992,1.2942898273468018,550,PID
8,XCMPlus,{},5635,0.7909026145935059,0.9004038572311401,1.2932308912277222,129,PID
9,ConvTranPlus,{},12224,0.8382062315940857,0.8953946232795715,1.2931993007659912,154,PID
10,XceptionTimePlus,{},234865,0.7607241272926331,0.8850190043449402,1.2786736488342285,710,PID
